Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Trend_Up
2019-01-01,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,January,Tuesday,0
2019-01-02,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,January,Wednesday,0
2019-01-03,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,102805905.0,2019,January,Thursday,0
2019-01-04,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,125907734.0,2019,January,Friday,0
2019-01-07,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,January,Monday,0
2019-01-08,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,January,Tuesday,0
2019-01-09,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,131331598.0,2019,January,Wednesday,0
2019-01-10,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,156122176.0,2019,January,Thursday,0
2019-01-11,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,118649479.0,2019,January,Friday,0
2019-01-14,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,126576436.0,2019,January,Monday,0
2019-01-15,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,154948896.0,2019,January,Tuesday,0
2019-01-16,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,114151831.0,2019,January,Wednesday,0
2019-01-17,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,131847617.0,2019,January,Thursday,0
2019-01-18,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,105708085.0,2019,January,Friday,0
2019-01-21,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,January,Monday,0
2019-01-22,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,131658634.0,2019,January,Tuesday,0
2019-01-23,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,179807675.0,2019,January,Wednesday,0
2019-01-24,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,184441697.5,2019,January,Thursday,0
2019-01-25,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,139857845.0,2019,January,Friday,0
2019-01-28,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,102940988.0,2019,January,Monday,0
2019-01-29,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,184441697.5,2019,January,Tuesday,0
2019-01-30,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,159225000.0,2019,January,Wednesday,0
2019-01-31,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,184441697.5,2019,January,Thursday,0
2019-02-01,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,154119152.0,2019,February,Friday,0
2019-02-04,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,February,Monday,0
2019-02-05,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,February,Tuesday,0
2019-02-06,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,February,Wednesday,0
2019-02-07,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,February,Thursday,0
2019-02-08,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,February,Friday,0
2019-02-11,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,95796820.5,2019,February,Monday,0
2019-02-12,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,104459344.0,2019,February,Tuesday,0
2019-02-13,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,119001265.0,2019,February,Wednesday,0
2019-02-14,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,131498911.0,2019,February,Thursday,0
2019-02-15,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,96513687.0,2019,February,Friday,0
2019-02-18,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,103030419.0,2019,February,Monday,0
2019-02-19,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,153943258.0,2019,February,Tuesday,0
2019-02-20,3645.3916015625,3699.93603515625,3599.937744140625,3644.043701171875,3139.10107421875,136475507.0,2019,February,Wednesday,0
